Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Bharatvaarta,"Why India Is ""Problematic"" for the US |  @AbhijitChavda on Trump Tariffs, India's Response, & More",102667,2819,467,3.2,2025-09-02,https://www.youtube.com/watch?v=z-m3BCmBEaM
Democracy Now!,Trump's Tariffs Struck Down: Attorney Neal Katyal & Oregon AG Dan Rayfield Respond,100372,2542,449,2.98,2025-09-02,https://www.youtube.com/watch?v=dAKwWZa5Lds
Times Radio,Trump loses control as US tariffs 'hemorrhaging trust' and China co-opts US allies at SCO,94556,1792,396,2.31,2025-09-02,https://www.youtube.com/watch?v=QcJTWRWdo9k
Al Arabiya English,"Shashi Tharoor On Trump Tariffs: 'After 200 Years Of Colonialism, India Won't Be Dictated To' | GNT",875012,14042,2308,1.87,2025-09-02,https://www.youtube.com/watch?v=MtQmbJvAZLU
Global News,"With most of Canada's counter-tariffs gone, what's next for Carney in US trade war?",82875,335,715,1.27,2025-09-02,https://www.youtube.com/watch?v=y_IWd0-oP5Y
The Indian Express,"""Too Late Now"": Trump Hits Out at India on Tariffs | Trump Tariffs On India | US Tariffs | PM Modi",30527,146,178,1.06,2025-09-01,https://www.youtube.com/watch?v=VBxd9Y00q78
WION,U.S- India: Trump Calls U.S.-India Trade a 'Disaster' Amid Tariff Row | WION World Business Watch,16749,60,38,0.59,2025-09-02,https://www.youtube.com/watch?v=8QAJIq9Z_pg
Forbes Breaking News,FULL GAGGLE: Navarro Says Trump's Tariffs Being Taken Down In Court 'Will Be The End Of The U.S.',95685,1370,481,1.93,2025-09-02,https://www.youtube.com/watch?v=xvYDesuCWIg
CNN-News18,Declining American Support for Trump's Tariff Policies: Analysis | Trump Tariffs | 4K | N18G,216981,1193,268,0.67,2025-09-01,https://www.youtube.com/watch?v=w5opfwmglFk
Firstpost,"Trump Claims India ""Offered To Cut Tariffs To Nothing"" | Vantage with Palki Sharma | N18G",863972,11575,3060,1.69,2025-09-01,https://www.youtube.com/watch?v=xQmuAxiRrTE
ANI News,Without tariffs US could be a third world country: Trump to seek early SC ruling on tariffs,35541,395,97,1.38,2025-09-02,https://www.youtube.com/watch?v=2YleS0Vj98Y
StudyIQ IAS,US Shocked! Small Town India Destroys Trump Tariff Pressure | UPSC | StudyIQ IAS,120260,2083,83,1.8,2025-09-03,https://www.youtube.com/watch?v=WFWICJyBA9Q
NDTV Profit,"Trump's First Reaction After PM Modi, Xi & Putin SCO Meet: 'India Should Have Cut Their Tariffs...'",102002,458,248,0.69,2025-09-01,https://www.youtube.com/watch?v=KdBUpX9Wfi8
MSNBC,Tariff Turmoil Latest: Appeals court rules Trump overstepped presidential powers,111247,1045,670,1.54,2025-09-01,https://www.youtube.com/watch?v=_J2Li9hUHOU
GZERO Media,US-India relationship at a crossroads | Ian Bremmer's Quick Take,108803,1337,134,1.35,2025-09-02,https://www.youtube.com/watch?v=L1543CjhHVk
NDTV,"Trump Tariffs News | Ties With India ""One-Sided Disaster"": Trump After PM Modi Meets Xi, Putin",78616,313,155,0.6,2025-09-01,https://www.youtube.com/watch?v=-D5oe6L565Y
