Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Polka Dots Boutique,1000 രൂപക്ക് റെഡിമേഡ് Embroidery stylish salwar Set | polka dots #trending #fashion,4013,43,3,1.15,2025-08-22,https://www.youtube.com/watch?v=OYetFJCUfzc
Duke's Casual,Latest Beautiful African Dresses 2025/2026| Elegant Innovative Dresses|Trending Fashion,13890,65,0,0.47,2025-08-21,https://www.youtube.com/watch?v=MRj2DbN4K5w
Attraction men's boutique,DESIGNER DENIM SHIRT..FOR ONLINE ORDER (7276235101).. #shorts #trending #fashion #ytshorts,775,6,0,0.77,2025-08-23,https://www.youtube.com/watch?v=fQiXIbMEJHY
sumu style ,#punjabisong #trending #fashion #dress Punjabi suitdesign salwarsuit #trendingshorts#shorts #youtube,6886,84,1,1.23,2025-08-21,https://www.youtube.com/watch?v=T4GctsmEtWM
Jitika Matching Center,#trending #fashion #jorjetsuit,1736,15,3,1.04,2025-08-21,https://www.youtube.com/watch?v=kL8P7IDKHjQ
Bubby's Boutique,Ankle Length Shimmer PantsFor Order8438302207#trending#fashion#shortsfeed#shortsvideo#shopping#new,2047,21,12,1.61,2025-08-20,https://www.youtube.com/watch?v=thnjdYFzGBM
GARDEN CHUDIDHAAR PARK,New trendy kurta sets#trending #fashion #gardenchudidhaarpark #onlineshopping #dress #chudidhaar,1369,3,0,0.22,2025-08-22,https://www.youtube.com/watch?v=AmKD24kzjdI
Aadi fashion hub❤,latest designer partywear Punjabi suit available order now ☎️ #trending #fashion #punjabisuit,2172,22,1,1.06,2025-08-20,https://www.youtube.com/watch?v=ROUn2Zbdkos
Prachi Garments,Gless Cotton#trending #fashion #laddifashion #virel #onlineshopping #cottonsuit #virelshort,1076,25,0,2.32,2025-08-22,https://www.youtube.com/watch?v=MXdUvqLYkmg
Vasundhara Fashion Boutique ,Book order-972412-7011 #garba #trending #fashion #shorts #new #new #saree #fancy #youtube #instagram,25254,165,0,0.65,2025-08-20,https://www.youtube.com/watch?v=La1y6yAhd5A
Gomati boutique,order number 7056484691#trending #fashion #newsuitdesignforkarwachauth,1675,33,1,2.03,2025-08-23,https://www.youtube.com/watch?v=ghBoIZGQu0s
latest Earrings Collection ,Latest Earrings Collection  Trending Fashion #Short#unique Jewelry #styling ❤️,32618,329,0,1.01,2025-08-22,https://www.youtube.com/watch?v=7CgbfIgJxqA
BUSHRA FATIMA,Beautiful Earrings#trending #fashion #stylish#viral#ytshorts #bushrafatima ❤️,9229,33,0,0.36,2025-08-22,https://www.youtube.com/watch?v=mSp3M5dbWKs
Kungar Fashion Designing ,#trending #fashion/ Punjabi suit  with less design #shortvideo,1458,16,0,1.1,2025-08-23,https://www.youtube.com/watch?v=Twq7hsjBJxQ
meesho_finds,link check my community post #trending #fashion #topshopping #meesho #topcollection,2120,8,1,0.42,2025-08-21,https://www.youtube.com/watch?v=DDfvSxqUcVI
Nivi Collections,Beautiful gold replica design Haram.#trending #fashion #gold #indianjewellery #onegramgoldjewellery,1345,18,8,1.93,2025-08-20,https://www.youtube.com/watch?v=LAIAGIjtZKU
